Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return
2022-01-11,24650.0,73000.0,9943500,749484000000,20000,1440000000,79000.0,79000.0,73000.0,-4200.0,-5.44,-0.05440414507772018
2022-01-12,25800.0,76400.0,7979000,592589000000,0,0,72500.0,76700.0,72000.0,3400.0,4.66,0.046575342465753344
2022-01-13,24620.0,72900.0,5859200,433653000000,400000,29428000000,76900.0,77400.0,72200.0,-3500.0,-4.58,-0.04581151832460728
2022-01-14,24310.0,72000.0,3774600,274838000000,695700,48102460000,72000.0,73800.0,72000.0,-900.0,-1.23,-0.012345679012345734
2022-01-17,22620.0,67000.0,15771000,1072816000000,0,0,72000.0,72400.0,67000.0,-5000.0,-6.94,-0.06944444444444442
2022-01-18,21070.0,62400.0,10178000,648783000000,0,0,65099.99999999999,66000.0,62400.0,-4600.0,-6.87,-0.06865671641791049
2022-01-19,21540.0,63800.0,4234400,272725000000,0,0,64500.0,66000.0,63700.0,1400.0,2.24,0.022435897435897356
2022-01-20,22390.0,66300.0,3200700,212069000000,183000,13047900000,67000.0,67400.0,64800.0,-400.0,-0.6,0.03918495297805635
2022-01-21,22220.0,65800.0,3340700,222709000000,520000,33800000000,67700.0,67700.0,65700.0,-2000.0,-2.95,-0.007541478129713397
2022-01-24,20670.0,61200.0,10824100,668796000000,292100,18314580000,63900.0,64800.0,61200.0,-4600.0,-6.99,-0.06990881458966569
2022-01-25,21170.0,62700.0,4062100,249418000000,0,0,60600.0,63000.0,59100.0,1500.0,2.45,0.02450980392156854
2022-01-26,21240.0,62900.0,4556200,287625000000,1168500,71826100000,63000.0,64400.00000000001,61500.0,200.0,0.32,0.0031897926634769647
2022-01-27,21950.0,65000.0,4314900,279645000000,689000,41014200000,62400.0,66800.0,62100.0,2100.0,3.34,0.03338632750397452
2022-01-28,23300.0,69000.0,4715200,316701000000,215000,13007500000,65000.0,69000.0,64800.0,4000.0,6.15,0.06153846153846154
2022-02-07,23770.0,70400.0,4058400,287184000000,25000,1625000000,69800.0,71800.0,69200.0,1400.0,2.03,0.020289855072463725
2022-02-08,23640.0,70000.0,2728600,190275000000,120000,8400000000,70500.0,70500.0,68200.0,-400.0,-0.57,-0.005681818181818232
2022-02-09,24310.0,72000.0,5053900,361556000000,2157800,147600848000,70000.0,72900.0,69500.0,2000.0,2.86,0.02857142857142847
2022-02-10,23980.0,71000.0,2717400,194460000000,721800,48541960000,71900.0,72700.0,70100.0,-1000.0,-1.39,-0.01388888888888884
2022-02-11,24140.0,71500.0,3188400,227266000000,994100,66245920000,70600.0,72200.0,70200.0,500.0,0.7,0.007042253521126751
2022-02-14,22960.0,68000.0,4523800,315963000000,294000,19890000000,69700.0,71000.0,68000.0,-3500.0,-4.9,-0.04895104895104896
2022-02-15,23740.0,70300.0,4099300,283398000000,284200,18271860000,69000.0,70600.0,67500.0,2300.0,3.38,0.03382352941176481
2022-02-16,24140.0,71500.0,2751100,197423000000,407000,26644800000,71000.0,73000.0,70500.0,1200.0,1.71,0.017069701280227667
2022-02-17,24010.0,71100.0,2532600,180945000000,1714000,115903460000,71500.0,71900.0,70700.0,-400.0,-0.56,-0.005594405594405605
2022-02-18,24350.0,72100.0,4821000,344879000000,951500,63387100000,70100.0,72900.0,69800.0,1000.0,1.41,0.014064697609001309
2022-02-21,25360.0,75100.0,5775200,431940000000,150200,10078420000,72600.0,76000.0,72500.0,3000.0,4.16,0.04160887656033285
2022-02-22,24820.0,73500.0,4542100,334325000000,193100,13497690000,73700.0,74800.0,72500.0,-1600.0,-2.13,-0.02130492676431428
2022-02-23,25120.0,74400.0,2332300,173327000000,221000,15116400000,74100.0,74900.0,73800.0,900.0,1.22,0.012244897959183598
2022-02-24,25660.0,76000.0,9603700,724507000000,484000,35146600000,74100.0,77400.0,72000.0,1600.0,2.15,0.021505376344086002
2022-02-25,26370.0,78100.0,11134100,878288000000,218000,15412600000,77000.0,81000.0,76600.0,2100.0,2.76,0.02763157894736845
2022-02-28,26610.0,78800.0,5989600,472993000000,0,0,79500.0,80300.0,77900.0,700.0,0.9,0.008962868117797784
2022-03-01,26510.0,78500.0,6539700,513415000000,0,0,79200.0,79700.0,77800.0,-300.0,-0.38,-0.0038071065989847552
2022-03-02,25630.0,75900.0,10093200,772995000000,0,0,77600.0,78300.0,75500.0,-2600.0,-3.31,-0.03312101910828025
2022-03-03,25930.0,76800.0,4220200,320335000000,285500,21020300000,76300.0,76900.0,75100.0,900.0,1.19,0.011857707509881354
2022-03-04,26000.0,77000.0,4592100,357617000000,338600,24239900000,77500.0,78900.0,77000.0,200.0,0.26,0.0026041666666667407
2022-03-07,25700.0,76100.0,6682900,511271000000,328181,23551347700,76300.0,77500.0,76000.0,-900.0,-1.17,-0.011688311688311637
2022-03-08,25330.0,75000.0,7236800,549742000000,413400,30116220000,75200.0,77000.0,75000.0,-1100.0,-1.45,-0.014454664914586024
2022-03-09,24820.0,73500.0,11808600,876556000000,0,0,75400.0,75700.0,73500.0,-1500.0,-2.0,-0.020000000000000018
2022-03-10,26510.0,31850.0,2000300,63709000000,1291800,38740400000,31850.0,31850.0,31850.0,2050.0,6.88,-0.5666666666666667
2022-03-11,27050.0,32500.0,32597700,1093253000000,0,0,34050.0,34050.0,32500.0,600.0,1.88,0.020408163265306145
2022-03-14,26430.0,31750.0,7352000,234186000000,0,0,32100.0,32350.0,31350.0,-750.0,-2.31,-0.023076923076923106
2022-03-15,27130.0,32600.0,8550700,279070000000,0,0,31900.0,33550.0,31750.0,800.0,2.52,0.026771653543307128
2022-03-16,27090.0,32549.999999999996,4868500,159455000000,0,0,33200.0,33200.0,32450.000000000004,-50.0,-0.15,-0.0015337423312884457
2022-03-17,26720.0,32100.0,6099500,197362000000,0,0,33000.0,33000.0,32000.0,-500.0,-1.53,-0.013824884792626668
2022-03-18,26590.0,31950.0,13105600,419033000000,1000000,29900000000,32000.0,32400.0,31700.0,-150.0,-0.47,-0.004672897196261627
2022-03-21,26630.0,32000.0,6935100,221253000000,100000,3000000000,32049.999999999996,32299.999999999996,31700.0,0.0,0.0,0.0015649452269170805
2022-03-22,26760.0,32150.0,8155200,263642000000,0,0,32000.0,32900.0,31950.0,150.0,0.47,0.004687499999999956
2022-03-23,26590.0,31950.0,6824800,219542000000,0,0,32200.000000000004,32500.0,31850.0,-250.0,-0.78,-0.0062208398133748455
2022-03-24,26220.0,31500.0,8935200,283420000000,1113500,33293650000,31950.0,32000.0,31500.0,-500.0,-1.56,-0.014084507042253502
2022-03-25,25890.0,31100.0,8458900,264348000000,0,0,31300.0,31800.0,31000.0,-400.0,-1.27,-0.012698412698412653
2022-03-28,25140.0,30200.0,10102500,306922000000,0,0,30600.0,31000.0,29800.0,-900.0,-2.89,-0.02893890675241162
2022-03-29,25720.0,30900.0,5304000,163730000000,0,0,30900.0,31250.0,30500.0,700.0,2.32,0.023178807947019875
2022-03-30,25760.0,30950.0,5877000,181466000000,0,0,30600.0,31450.0,30300.0,50.0,0.16,0.0016181229773462036
2022-03-31,25390.0,30500.0,4554400,140074000000,0,0,31100.0,31250.0,30300.0,-500.0,-1.61,-0.014539579967689842
2022-04-01,26390.0,31700.0,7846800,242420000000,0,0,30500.0,31800.0,30100.0,1200.0,3.93,0.03934426229508192
2022-04-04,28220.0,33900.0,28162500,944774000000,0,0,32400.0,33900.0,32350.0,2200.0,6.94,0.06940063091482651
2022-04-05,28800.0,34600.0,17035800,599641000000,0,0,34100.0,36100.0,34100.0,700.0,2.06,0.020648967551622377
2022-04-06,29550.0,35500.0,18821500,663019000000,0,0,34000.0,36000.0,34000.0,900.0,2.6,0.026011560693641522
2022-04-07,29130.0,35000.0,23236900,836968000000,0,0,35500.0,37000.0,35000.0,-500.0,-1.41,-0.014084507042253502
2022-04-08,29220.0,35100.0,17989300,632519000000,0,0,35000.0,36000.0,34550.0,100.0,0.29,0.0028571428571428914
2022-04-12,27470.0,33000.0,16606900,572811000000,0,0,35800.0,35800.0,33000.0,-2100.0,-5.98,-0.05982905982905984
2022-04-13,29380.0,35300.0,16660500,558541000000,0,0,33100.0,35300.0,31800.0,2300.0,6.97,0.06969696969696959
2022-04-14,28760.0,34550.0,12340600,431631000000,0,0,35500.0,35950.0,34350.0,-750.0,-2.12,-0.021246458923512734
2022-04-15,28050.0,33700.0,12856200,441174000000,0,0,34200.0,35250.0,33500.0,-900.0,-2.6,-0.02460202604920403
2022-04-18,26800.0,32200.000000000004,18699800,606166000000,0,0,32800.0,33500.0,31500.0,-1500.0,-4.45,-0.04451038575667643
2022-04-19,24970.0,30000.0,15768700,498167000000,30000,898500000,32299.999999999996,33050.0,30000.0,-2200.0,-6.83,-0.06832298136645976
2022-04-20,25220.0,30300.0,13758500,421066000000,0,0,30000.0,31400.0,29600.0,300.0,1.0,0.010000000000000009
2022-04-21,26930.0,32350.0,14542000,456731000000,0,0,30300.0,32400.0,30100.0,2050.0,6.77,0.06765676567656764
2022-04-22,26340.0,31650.0,13201300,421884000000,0,0,33000.0,33350.0,30550.0,-700.0,-2.16,-0.021638330757341562
2022-04-25,24510.0,29450.0,16404800,498302000000,0,0,31650.0,32150.0,29450.0,-2250.0,-7.1,-0.06951026856240128
2022-04-26,26220.0,31500.0,15523600,456375000000,0,0,29000.0,31500.0,27450.0,2000.0,6.78,0.06960950764006801
2022-04-27,25970.0,31200.0,7463600,232400000000,89000,2772350000,31000.0,31750.0,30550.0,-300.0,-0.95,-0.00952380952380949
2022-04-28,25300.0,30400.0,9707900,299258000000,0,0,30950.0,31550.0,30300.0,-800.0,-2.56,-0.02564102564102566
2022-04-29,25800.0,31000.0,10427700,319822000000,20000,590000000,30150.0,31400.0,30050.0,600.0,1.97,0.019736842105263053
2022-05-04,24970.0,30000.0,7952900,242413000000,0,0,30700.0,31300.0,30000.0,-1000.0,-3.23,-0.032258064516129004
2022-05-05,24140.0,29000.0,10868100,320700000000,0,0,30450.0,30600.0,28650.0,-1000.0,-3.33,-0.033333333333333326
2022-05-06,22470.0,27000.0,14963500,415108000000,489400,15096200000,27900.0,28650.0,27000.0,-2000.0,-6.9,-0.06896551724137934
2022-05-09,20930.0,25150.0,14588800,368897000000,0,0,25800.0,26400.0,25150.0,-1850.0,-6.85,-0.06851851851851853
2022-05-10,21270.0,25550.0,11674300,290511000000,0,0,23700.0,25850.0,23600.0,350.0,1.39,0.015904572564612307
2022-05-11,21060.0,25300.0,4532300,115103000000,0,0,25600.0,25900.0,24850.0,-250.0,-0.98,-0.009784735812133127
2022-05-12,19600.0,23550.0,8089900,193573000000,0,0,24500.0,25000.0,23550.0,-1750.0,-6.92,-0.06916996047430835
2022-05-13,18270.0,21950.0,17305000,384586000000,0,0,23500.0,23700.0,21950.0,-1600.0,-6.79,-0.06794055201698512
2022-05-16,18850.0,22650.0,8471400,195154000000,0,0,23000.0,23450.0,22000.0,650.0,2.95,0.03189066059225509
2022-05-17,20140.0,24200.0,8208600,193750000000,0,0,22450.0,24200.0,21900.0,1500.0,6.61,0.06843267108167761
2022-05-18,20600.0,24750.0,10785800,270896000000,0,0,25000.0,25800.0,24400.0,550.0,2.27,0.022727272727272707
2022-05-19,20980.0,25200.0,8416700,208109000000,0,0,24000.0,25400.0,23900.0,400.0,1.61,0.018181818181818077
2022-05-20,20480.0,24600.0,9335800,233580000000,0,0,25500.0,25700.0,24500.0,-600.0,-2.38,-0.023809523809523836
2022-05-23,19390.0,23300.0,10081200,238880000000,0,0,24800.0,24850.0,22900.0,-1300.0,-5.28,-0.05284552845528456
2022-05-24,19980.0,24000.0,13598900,306434000000,0,0,23300.0,24000.0,21700.0,700.0,3.0,0.030042918454935563
2022-05-25,20640.0,24800.0,9619600,235858000000,0,0,24000.0,25200.0,23900.0,800.0,3.33,0.03333333333333344
2022-05-26,20690.0,24350.0,7946200,196482000000,0,0,24500.0,25500.0,24200.0,50.0,0.21,-0.01814516129032262
2022-05-27,20770.0,24450.0,8742300,212838000000,0,0,24350.0,24950.0,24000.0,50.0,0.2,0.004106776180698102
2022-05-30,21200.0,24950.0,10663400,266199000000,0,0,24650.0,25300.0,24450.0,450.0,1.84,0.020449897750511203
2022-05-31,21450.0,25250.0,10690200,270159000000,0,0,25000.0,25700.0,24600.0,250.0,1.0,0.012024048096192397
2022-06-01,21620.0,25450.0,9031300,227081000000,80000,1880000000,25000.0,25900.0,24600.0,150.0,0.59,0.007920792079207928
2022-06-02,21110.0,24850.0,10980100,279367000000,0,0,25500.0,25950.0,24600.0,-650.0,-2.55,-0.023575638506876273
2022-06-03,20690.0,24350.0,8604500,210008000000,0,0,24650.0,24900.0,24050.0,-550.0,-2.21,-0.02012072434607648
2022-06-06,20470.0,24100.0,6115400,149257000000,0,0,24250.0,25000.0,23950.0,-300.0,-1.23,-0.010266940451745366
2022-06-07,20300.0,23900.0,9660700,225275000000,0,0,23950.0,24050.0,22500.0,-200.0,-0.83,-0.008298755186721962
2022-06-08,20980.0,24700.0,8699500,213069000000,0,0,24350.0,25200.0,23850.0,800.0,3.35,0.03347280334728042
2022-06-09,21200.0,24950.0,6611000,165572000000,0,0,25000.0,25400.0,24700.0,250.0,1.01,0.010121457489878471
2022-06-10,20390.0,24000.0,6290000,153854000000,0,0,24600.0,24900.0,24000.0,-1000.0,-4.0,-0.038076152304609256
2022-06-13,18990.0,22350.0,10702200,241962000000,0,0,22600.0,23300.0,22350.0,-1650.0,-6.87,-0.06874999999999998
2022-06-14,17750.0,20900.0,10120400,217600000000,0,0,21500.0,22300.0,20800.0,-1500.0,-6.7,-0.06487695749440714
2022-06-15,16520.0,19450.0,30210800,596256000000,532600,11262720000,20500.0,21300.0,19450.0,-1450.0,-6.94,-0.06937799043062198
2022-06-16,15420.0,18150.0,26006500,489535000000,0,0,19950.0,20000.0,18100.0,-1350.0,-6.92,-0.06683804627249357
2022-06-17,14360.0,16900.0,28721800,486563000000,0,0,17100.0,17500.0,16900.0,-1300.0,-7.14,-0.06887052341597799
2022-06-20,13380.0,15750.0,29310800,479346000000,50000,800000000,17450.0,17650.0,15750.0,-1150.0,-6.8,-0.06804733727810652
2022-06-21,13510.0,15900.0,28567700,454745000000,0,0,15300.0,16800.0,14850.0,100.0,0.63,0.00952380952380949
2022-06-22,14440.0,17000.0,25628400,432153000000,0,0,16550.0,17000.0,16400.0,1100.0,6.92,0.0691823899371069
2022-06-23,14400.0,16950.0,16572500,274239000000,504000,7988400000,16700.0,17000.0,16000.0,-50.0,-0.29,-0.002941176470588225
2022-06-24,14610.0,17200.0,26591800,457360000000,990000,15741000000,16850.0,17850.0,16650.0,200.0,1.18,0.014749262536873253
2022-06-27,15630.0,18400.0,25199600,450058000000,0,0,17500.0,18400.0,17200.0,1200.0,6.98,0.06976744186046502
2022-06-28,15550.0,18300.0,23855900,440696000000,0,0,18400.0,18900.0,18100.0,-100.0,-0.54,-0.005434782608695676
2022-06-29,15760.0,18550.0,30989500,579989000000,70040,1225244000,18050.0,19200.0,17950.0,250.0,1.37,0.013661202185792254
2022-06-30,14780.0,17400.0,32005300,586300000000,0,0,18600.0,19100.0,17400.0,-1200.0,-6.45,-0.061994609164420456
2022-07-01,15800.0,18600.0,35630900,627438000000,0,0,17600.0,18600.0,16700.0,1200.0,6.9,0.06896551724137923
2022-07-04,16309.999999999998,19200.0,27091500,522090000000,560000,9896000000,19050.0,19700.0,18850.0,600.0,3.23,0.032258064516129004
2022-07-05,15800.0,18600.0,24649200,467339000000,70000,1253000000,19150.0,19350.0,18600.0,-600.0,-3.12,-0.03125
2022-07-06,14950.0,17600.0,29433800,533367000000,0,0,18000.0,18650.0,17600.0,-1000.0,-5.38,-0.053763440860215006
2022-07-07,15040.0,17700.0,21112600,370598000000,0,0,17550.0,18000.0,17150.0,100.0,0.57,0.005681818181818121
2022-07-08,15590.0,18350.0,23575000,431633000000,0,0,18050.0,18600.0,18000.0,650.0,3.67,0.03672316384180796
2022-07-11,15160.0,17850.0,19432000,352666000000,0,0,18250.0,18900.0,17500.0,-550.0,-2.99,-0.027247956403269713
2022-07-12,15550.0,18300.0,20230500,365539000000,105000,1837500000,17850.0,18500.0,17700.0,400.0,2.23,0.025210084033613356
2022-07-13,15720.0,18500.0,22995300,426619000000,20000,370000000,18400.0,18850.0,18200.0,200.0,1.09,0.010928961748633892
2022-07-14,16400.0,19300.0,30892100,580576000000,0,0,18200.0,19500.0,18100.0,800.0,4.32,0.043243243243243246
2022-07-15,16059.999999999998,18900.0,22697400,437425000000,0,0,19450.0,19650.0,18900.0,-400.0,-2.07,-0.020725388601036232
2022-07-18,16140.0,19000.0,19723900,376658000000,0,0,19150.0,19350.0,18900.0,100.0,0.53,0.005291005291005346
2022-07-19,15930.0,18750.0,22450900,420056000000,0,0,18800.0,19100.0,18400.0,-250.0,-1.32,-0.013157894736842146
2022-07-20,16309.999999999998,19200.0,23701000,458917000000,0,0,19150.0,19650.0,19000.0,400.0,2.13,0.02400000000000002
2022-07-21,16270.0,19150.0,16010200,308300000000,0,0,19200.0,19550.0,19100.0,-50.0,-0.26,-0.0026041666666666297
2022-07-22,16100.000000000002,18950.0,15427200,296299000000,0,0,19250.0,19400.0,18950.0,-250.0,-1.3,-0.010443864229765065
2022-07-25,15930.0,18750.0,14915300,279240000000,0,0,18700.0,19200.0,18400.0,-250.0,-1.32,-0.01055408970976257
2022-07-26,15460.0,18200.0,14054700,260012000000,0,0,18900.0,18950.0,18200.0,-600.0,-3.19,-0.029333333333333322
2022-07-27,15460.0,18200.0,18073000,326194000000,20040,360720000,18050.0,18300.0,17800.0,0.0,0.0,0.0
2022-07-28,16010.000000000002,18850.0,17149900,322410000000,0,0,18700.0,19150.0,18400.0,650.0,3.57,0.03571428571428581
2022-07-29,16230.0,19100.0,26439400,505937000000,0,0,19000.0,19400.0,18800.0,200.0,1.06,0.013262599469495928
2022-08-01,17330.0,20400.0,42530300,849644000000,0,0,19250.0,20400.0,19200.0,1300.0,6.81,0.0680628272251309
2022-08-02,17630.0,20750.0,31411800,655596000000,0,0,20500.0,21300.0,20450.0,350.0,1.72,0.017156862745097978
2022-08-03,17970.0,21150.0,26534700,550419000000,810100,15796950000,20500.0,21200.0,20450.0,350.0,1.68,0.01927710843373487
2022-08-04,18010.0,21200.0,29973600,635805000000,0,0,21400.0,21600.0,20850.0,0.0,0.0,0.0023640661938533203
2022-08-05,18690.0,22000.0,28980600,627335000000,0,0,21000.0,22350.0,20900.0,800.0,3.77,0.037735849056603765
2022-08-08,18820.0,22150.0,23484200,517871000000,0,0,22100.0,22300.0,21850.0,150.0,0.68,0.006818181818181834
2022-08-09,19160.0,22550.0,21850200,485264000000,48500,999100000,22100.0,22700.0,21800.0,350.0,1.58,0.018058690744920947
2022-08-10,18860.0,22200.0,21196600,474535000000,0,0,22250.0,22700.0,22150.0,-400.0,-1.77,-0.01552106430155209
2022-08-11,18650.0,21950.0,37946100,847406000000,0,0,22500.0,22900.0,21650.0,-250.0,-1.13,-0.011261261261261257
2022-08-12,19110.0,22500.0,21203000,470387000000,0,0,21850.0,22600.0,21700.0,500.0,2.27,0.02505694760820054
2022-08-15,19070.0,22450.0,14742400,332686000000,1200000,26820000000,22800.0,22850.0,22300.0,-50.0,-0.22,-0.0022222222222222365
2022-08-16,19070.0,22450.0,18915800,424518000000,1000000,22390000000,22400.0,22700.0,22150.0,-50.0,-0.22,0.0
2022-08-17,18900.0,22250.0,20985900,471162000000,0,0,22600.0,22750.0,22100.0,-250.0,-1.11,-0.008908685968819552
2022-08-18,19110.0,22500.0,22191200,500086000000,232000,5162400000,22100.0,22950.0,22100.0,200.0,0.9,0.011235955056179803
2022-08-19,19240.0,22650.0,15079100,340529000000,350000,8400000000,22450.0,22900.0,22300.0,150.0,0.67,0.006666666666666599
2022-08-22,18860.0,22200.0,19927200,449192000000,0,0,22600.0,22950.0,22100.0,-500.0,-2.2,-0.019867549668874163
2022-08-23,19330.0,22750.0,25373000,563039000000,0,0,22000.0,22750.0,21700.0,550.0,2.48,0.024774774774774855
2022-08-24,19200.0,22600.0,12780900,290238000000,2000000,44400000000,22850.0,22900.0,22500.0,-200.0,-0.88,-0.00659340659340657
2022-08-25,19500.0,22950.0,20642700,475667000000,0,0,22700.0,23300.0,22700.0,350.0,1.55,0.015486725663716783
2022-08-26,19030.0,22400.0,20429200,462147000000,50000,1147500000,22950.0,23000.0,22250.0,-600.0,-2.61,-0.023965141612200425
2022-08-29,18860.0,22200.0,37942300,818085000000,0,0,21850.0,22200.0,20900.0,-200.0,-0.89,-0.008928571428571397
2022-08-30,18430.0,21700.0,13185700,291506000000,0,0,22450.0,22550.0,21700.0,-500.0,-2.25,-0.022522522522522515
2022-08-31,18430.0,21700.0,11983700,258935000000,0,0,21500.0,21900.0,21350.0,0.0,0.0,0.0
2022-09-05,18180.0,21400.0,12898200,277943000000,0,0,21600.0,21850.0,21400.0,-300.0,-1.38,-0.01382488479262678
2022-09-06,18180.0,21400.0,10989800,236812000000,0,0,21650.0,21750.0,21350.0,0.0,0.0,0.0
2022-09-07,16990.0,20000.0,28135800,587098000000,200000,4000000000,21400.0,21600.0,20000.0,-1400.0,-6.54,-0.06542056074766356
2022-09-08,16990.0,20000.0,14694200,296163000000,250000,5000000000,20400.0,20500.0,19850.0,0.0,0.0,0.0
2022-09-09,17330.0,20400.0,17791400,354705000000,200000,4000000000,20350.0,20400.0,19350.0,400.0,2.0,0.020000000000000018
2022-09-12,17080.0,20100.0,10407100,212881000000,250001,5000019000,20800.0,20850.0,20050.0,-300.0,-1.47,-0.014705882352941124
2022-09-13,16860.0,19850.0,14810300,294532000000,0,0,20150.0,20250.0,19550.0,-250.0,-1.24,-0.01243781094527363
2022-09-14,16990.0,20000.0,22127700,433468000000,0,0,19100.0,20100.0,19100.0,100.0,0.5,0.007556675062972307
2022-09-15,16820.0,19800.0,7684400,153258000000,0,0,20200.0,20250.0,19750.0,-200.0,-1.0,-0.010000000000000009
2022-09-16,16140.0,19000.0,23557600,454349000000,0,0,19700.0,19800.0,19000.0,-800.0,-4.04,-0.04040404040404044
2022-09-19,15160.0,17850.0,20706900,378603000000,1,17700,19100.0,19100.0,17850.0,-1150.0,-6.05,-0.06052631578947365
2022-09-20,15970.0,18800.0,16307400,297934000000,0,0,18000.0,18800.0,17850.0,900.0,5.03,0.053221288515406195
2022-09-21,15720.0,18500.0,10544400,195999000000,0,0,18500.0,18900.0,18300.0,-300.0,-1.6,-0.015957446808510634
2022-09-22,16140.0,19000.0,17717300,331231000000,450000,8550000000,18250.0,19100.0,18200.0,500.0,2.7,0.027027027027026973
2022-09-23,15760.0,18550.0,15980400,300588000000,0,0,18950.0,19200.0,18500.0,-450.0,-2.37,-0.023684210526315752
2022-09-26,14820.0,17450.0,28900100,509418000000,150000,2850000000,18050.0,18300.0,17300.0,-1150.0,-6.18,-0.05929919137466311
2022-09-27,14870.0,17500.0,13334400,234243000000,100000,1865000000,17600.0,17750.0,17350.0,0.0,0.0,0.002865329512893977
2022-09-28,15120.0,17800.0,19715300,350205000000,0,0,17500.0,18200.0,17400.0,300.0,1.71,0.017142857142857126
2022-09-29,14780.0,17400.0,12162200,216871000000,0,0,18300.0,18300.0,17400.0,-400.0,-2.25,-0.022471910112359605
2022-09-30,14870.0,17500.0,21992300,373081000000,50000,930000000,17400.0,17700.0,16400.0,100.0,0.57,0.005747126436781658
2022-10-03,13850.0,16300.0,15967100,265681000000,0,0,17200.0,17350.0,16300.0,-1200.0,-6.86,-0.06857142857142862
2022-10-04,13080.0,15400.0,20089800,324180000000,0,0,16700.0,16800.0,15400.0,-900.0,-5.52,-0.05521472392638038
2022-10-05,13930.0,16400.0,12876800,207153000000,0,0,15800.0,16450.0,15800.0,1000.0,6.49,0.06493506493506485
2022-10-06,13000.0,15300.0,14379500,225726000000,0,0,16350.000000000002,16400.0,15300.0,-1100.0,-6.71,-0.06707317073170727
2022-10-07,12110.0,14250.0,30613400,440673000000,181000,2604590000,14600.0,15100.0,14250.0,-1050.0,-6.86,-0.06862745098039214
2022-10-10,12450.0,14650.0,19678300,280199000000,0,0,13900.0,14850.0,13450.0,350.0,2.45,0.02807017543859658
2022-10-11,11600.0,13650.0,15411100,213360000000,50000,727500000,14500.0,14600.0,13650.0,-1050.0,-7.14,-0.06825938566552903
2022-10-12,11850.0,13950.0,25606000,357374000000,0,0,13550.0,14500.0,13300.0,250.0,1.82,0.0219780219780219
2022-10-13,11810.0,13900.0,10524700,147261000000,0,0,13850.0,14300.0,13800.0,-100.0,-0.71,-0.0035842293906810374
2022-10-14,12320.0,14500.0,26019100,378678000000,0,0,14400.0,14850.0,14200.0,600.0,4.32,0.043165467625899234
2022-10-17,12320.0,14500.0,15969600,226095000000,40220,542970000,14300.0,14500.0,13800.0,0.0,0.0,0.0
2022-10-18,12400.0,14600.0,20878500,311015000000,20000,270000000,14850.0,15150.0,14600.0,100.0,0.69,0.006896551724137945
2022-10-19,12360.0,14550.0,12985000,190039000000,1060000,15486600000,14600.0,14900.0,14400.0,-50.0,-0.34,-0.003424657534246589
2022-10-20,12020.0,14150.0,11010800,157483000000,0,0,14500.0,14600.0,14050.0,-450.0,-3.08,-0.027491408934707917
2022-10-21,11210.0,13200.0,25276000,338442000000,20000,264000000,14050.0,14200.0,13200.0,-1000.0,-7.04,-0.06713780918727918
2022-10-24,10450.0,12300.0,11765700,146852000000,0,0,12850.0,13000.0,12300.0,-900.0,-6.82,-0.06818181818181823
2022-10-25,9730.0,11450.0,65493700,756470000000,11841229,136166113500,11450.0,12700.0,11450.0,-850.0,-6.91,-0.06910569105691056
2022-10-26,9050.0,10650.0,28090600,309978000000,4150000,49800000000,11600.0,12000.0,10650.0,-850.0,-7.39,-0.06986899563318782
2022-10-27,9640.0,11350.0,37105200,412674000000,20000,213000000,10500.0,11350.0,10500.0,650.0,6.07,0.06572769953051649
2022-10-28,9940.0,11700.0,24818000,292901000000,216000,2289600000,11700.0,12100.0,11550.0,300.0,2.63,0.03083700440528636
2022-10-31,9770.0,11500.0,25078200,284021000000,0,0,11900.0,11900.0,10900.0,-200.0,-1.71,-0.017094017094017144
2022-11-01,10020.0,11800.0,18763400,217927000000,0,0,11700.0,11850.0,11250.0,300.0,2.61,0.026086956521739202
2022-11-02,10280.0,12100.0,22057400,265784000000,0,0,11800.0,12350.0,11550.0,300.0,2.54,0.025423728813559254
2022-11-03,10150.0,11950.0,17829600,211788000000,0,0,11700.0,12100.0,11650.0,-150.0,-1.24,-0.012396694214875992
2022-11-04,9510.0,11200.0,22894900,258551000000,0,0,11750.0,11800.0,11150.0,-800.0,-6.67,-0.06276150627615062
2022-11-07,8880.0,10450.0,27986600,294166000000,0,0,11200.0,11300.0,10450.0,-750.0,-6.7,-0.0669642857142857
2022-11-08,9050.0,10650.0,16698900,171746000000,974300,10863445000,9790.0,10650.0,9790.0,150.0,1.43,0.019138755980861344
2022-11-09,8880.0,10450.0,8485700,91213000000,0,0,10750.0,11000.0,10400.0,-250.0,-2.34,-0.018779342723004744
2022-11-10,8260.0,9720.0,17433600,172022000000,0,0,10150.0,10300.0,9720.0,-780.0,-7.43,-0.0698564593301435
2022-11-11,8330.0,9800.0,20037800,198530000000,0,0,10000.0,10200.0,9670.0,100.0,1.03,0.008230452674897082
2022-11-14,8790.0,10350.0,24429700,237265000000,0,0,9120.0,10350.0,9120.0,550.0,5.61,0.05612244897959173
2022-11-15,8410.0,9900.0,20775900,203672000000,3300000,34650000000,10050.0,10400.0,9630.0,-500.0,-4.81,-0.04347826086956519
2022-11-16,8960.0,10550.0,22957500,232664000000,0,0,9320.0,10550.0,9230.0,650.0,6.57,0.06565656565656575
